Lat,Lon,Clusters,Lon,Count of Store Id
34.7507,-86.1422,Cluster 5,-86.1422,1
34.6205,-86.551,Cluster 5,-86.551,1
34.7269,-86.5673,Cluster 5,-86.5673,1
34.7782,-86.7442,Cluster 5,-86.7442,1
34.5484,-87.0004,Cluster 5,-87.0004,1
34.8305,-87.656,Cluster 5,-87.656,1
32.4978,-85.0234,Cluster 4,-85.0234,1
32.6454,-85.3783,Cluster 4,-85.3783,1
31.2668,-85.3971,Cluster 4,-85.3971,1
32.9164,-85.9368,Cluster 4,-85.9368,1
32.4787,-86.43,Cluster 4,-86.43,1
30.4007,-87.6857,Cluster 3,-87.6857,1
30.6197,-87.8895,Cluster 3,-87.8895,1
30.6605,-88.1618,Cluster 3,-88.1618,1
30.6474,-88.2292,Cluster 3,-88.2292,1
32.3736,-86.1833,Cluster 4,-86.1833,2
33.5815,-85.8328,Cluster 1,-85.8328,1
33.1717,-86.2713,Cluster 1,-86.2713,1
33.5979,-86.3432,Cluster 1,-86.3432,1
33.6339,-86.5981,Cluster 1,-86.5981,1
33.5452,-86.6655,Cluster 1,-86.6655,1
33.3813,-86.7046,Cluster 1,-86.7046,1
33.2932,-86.768,Cluster 1,-86.768,1
33.3538,-86.8254,Cluster 1,-86.8254,1
33.4735,-86.9183,Cluster 1,-86.9183,1
33.8312,-87.2775,Cluster 1,-87.2775,1
33.1826,-87.4827,Cluster 1,-87.4827,1
