Lat,Clusters,Lon
35.2703,Cluster 3,-101.943
35.1663,Cluster 3,-101.8868
33.5497,Cluster 3,-101.9187
33.5466,Cluster 3,-101.8871
32.0199,Cluster 3,-102.1476
31.889,Cluster 3,-102.3548
31.8383,Cluster 3,-106.5364
31.8045,Cluster 3,-105.9661
31.7677,Cluster 3,-106.3016
31.4782,Cluster 3,-100.4818
30.847,Cluster 2,-95.597
30.6411,Cluster 2,-97.7511
30.6045,Cluster 2,-96.3123
30.5784,Cluster 2,-98.2751
30.5257,Cluster 2,-97.5672
30.5145,Cluster 2,-97.668
30.506,Cluster 2,-97.7472
30.5052,Cluster 2,-97.8203
30.4421,Cluster 2,-97.6299
30.43,Cluster 2,-97.8326
30.4036,Cluster 2,-97.7526
30.3649,Cluster 2,-97.6827
30.3337,Cluster 2,-97.9824
30.3217,Cluster 2,-95.5285
30.3085,Cluster 2,-97.6849
30.2428,Cluster 2,-97.7658
30.2333,Cluster 2,-95.5502
30.2268,Cluster 2,-98.1029
30.2063,Cluster 2,-97.7956
30.1877,Cluster 2,-95.4288
30.1876,Cluster 2,-97.7472
30.1774,Cluster 2,-96.4028
30.1388,Cluster 2,-97.2921
30.1237,Cluster 2,-95.2686
30.1132,Cluster 2,-94.1197
30.1044,Cluster 2,-95.5066
30.0709,Cluster 2,-93.8659
30.0532,Cluster 2,-95.3773
30.0416,Cluster 2,-99.1408
30.0069,Cluster 2,-95.4897
30.0041,Cluster 2,-95.2825
29.9966,Cluster 2,-97.8335
29.9781,Cluster 2,-95.5803
29.9766,Cluster 2,-95.6358
29.9319,Cluster 2,-95.6106
29.8931,Cluster 2,-98.6857
29.8892,Cluster 2,-95.3935
29.8744,Cluster 2,-95.5278
29.8635,Cluster 2,-95.1976
29.8617,Cluster 2,-95.3403
29.844,Cluster 2,-95.6623
29.8323,Cluster 2,-95.736
29.8052,Cluster 2,-95.5607
29.7991,Cluster 2,-95.4118
29.7853,Cluster 2,-95.1852
29.7767,Cluster 2,-98.4626
29.7705,Cluster 2,-94.9695
29.7696,Cluster 2,-95.5201
29.7404,Cluster 2,-95.8304
29.7348,Cluster 2,-95.522
29.7229,Cluster 2,-98.0742
29.7223,Cluster 2,-95.6285
29.7119,Cluster 2,-95.4845
29.699,Cluster 2,-95.5862
29.6876,Cluster 2,-95.3011
29.6562,Cluster 2,-98.4967
29.6518,Cluster 2,-95.3159
29.6396,Cluster 2,-95.65
29.6218,Cluster 2,-95.4819
29.6196,Cluster 2,-95.607
29.594,Cluster 2,-95.2218
29.5863,Cluster 2,-98.4769
29.579,Cluster 2,-98.2778
29.5704,Cluster 2,-95.5423
29.5617,Cluster 2,-95.2721
29.5613,Cluster 2,-97.9628
29.5612,Cluster 2,-98.6117
29.5564,Cluster 2,-95.144
29.5497,Cluster 2,-95.7982
29.5405,Cluster 2,-95.3208
29.5236,Cluster 2,-95.0276
29.5182,Cluster 2,-98.3627
29.5173,Cluster 2,-95.0963
29.5042,Cluster 2,-98.5697
29.4821,Cluster 2,-98.4554
29.4597,Cluster 2,-98.6555
29.412,Cluster 2,-95.2515
29.4102,Cluster 2,-100.8932
29.4027,Cluster 2,-98.6433
29.3579,Cluster 2,-98.4356
29.3374,Cluster 2,-98.5393
29.2766,Cluster 2,-94.8303
29.0393,Cluster 2,-95.4401
28.8675,Cluster 2,-96.999
27.8458,Cluster 2,-97.596
27.7311,Cluster 2,-97.3877
27.7262,Cluster 2,-97.4078
27.5569,Cluster 2,-99.4907
26.2556,Cluster 2,-98.2303
26.2159,Cluster 2,-98.3253
26.1831,Cluster 2,-97.7468
26.1771,Cluster 2,-98.187
26.1595,Cluster 2,-97.9908
25.9337,Cluster 2,-97.5174
25.9221,Cluster 2,-97.4612
33.8633,Cluster 1,-98.534
33.6581,Cluster 1,-95.5379
33.6547,Cluster 1,-97.1583
33.6372,Cluster 1,-96.6184
33.4669,Cluster 1,-94.0774
33.2559,Cluster 1,-96.8853
33.2117,Cluster 1,-97.0612
33.1976,Cluster 1,-96.6153
33.1733,Cluster 1,-94.9695
33.1186,Cluster 1,-96.6773
33.1047,Cluster 1,-96.0927
33.094,Cluster 1,-96.8836
33.0752,Cluster 1,-96.7843
33.055,Cluster 1,-96.7365
33.0299,Cluster 1,-96.7889
33.0277,Cluster 1,-96.6777
33.0268,Cluster 1,-97.1193
33.0211,Cluster 1,-97.2127
33.0198,Cluster 1,-96.9925
33.0041,Cluster 1,-96.5394
32.966,Cluster 1,-96.7452
32.9657,Cluster 1,-96.8825
32.9522,Cluster 1,-96.6654
32.9492,Cluster 1,-96.4418
32.9485,Cluster 1,-97.1524
32.9276,Cluster 1,-97.2489
32.9247,Cluster 1,-96.9598
32.9227,Cluster 1,-96.6248
32.9031,Cluster 1,-96.5472
32.8958,Cluster 1,-96.8588
32.8828,Cluster 1,-97.2098
32.8756,Cluster 1,-96.7495
32.8664,Cluster 1,-97.2891
32.8463,Cluster 1,-96.6972
32.8456,Cluster 1,-96.826
32.84,Cluster 1,-97.225
32.8267,Cluster 1,-96.9633
32.8264,Cluster 1,-97.0972
32.8248,Cluster 1,-97.4519
32.8154,Cluster 1,-96.6307
32.7822,Cluster 1,-97.4969
32.7582,Cluster 1,-97.1003
32.7549,Cluster 1,-97.7899
32.7515,Cluster 1,-96.2831
32.7493,Cluster 1,-97.2181
32.7319,Cluster 1,-96.9057
32.7287,Cluster 1,-96.6228
32.7002,Cluster 1,-97.3789
32.6605,Cluster 1,-97.0311
32.659,Cluster 1,-96.8765
32.6555,Cluster 1,-97.1599
32.6469,Cluster 1,-97.3325
32.5914,Cluster 1,-96.7728
32.5885,Cluster 1,-96.9438
32.5773,Cluster 1,-97.1416
32.5547,Cluster 1,-94.7767
32.5316,Cluster 1,-97.309
32.425,Cluster 1,-97.7742
32.392,Cluster 1,-99.7746
32.3808,Cluster 1,-96.8374
32.3509,Cluster 1,-97.4103
32.3254,Cluster 1,-95.2922
31.9937,Cluster 1,-96.4199
31.7754,Cluster 1,-98.9915
31.6403,Cluster 1,-97.0963
31.535,Cluster 1,-97.1899
31.27,Cluster 1,-94.6469
31.1172,Cluster 1,-97.6651
31.0917,Cluster 1,-97.3648
