lat,Clusters,lon
30.6605,Cluster 3,-88.1618
30.6474,Cluster 3,-88.2292
30.6197,Cluster 3,-87.8895
30.4007,Cluster 3,-87.6857
33.5815,Cluster 2,-85.8328
32.9164,Cluster 2,-85.9368
32.6454,Cluster 2,-85.3783
32.4978,Cluster 2,-85.0234
32.4787,Cluster 2,-86.43
32.3736,Cluster 2,-86.1833
31.2668,Cluster 2,-85.3971
34.8305,Cluster 1,-87.656
34.7782,Cluster 1,-86.7442
34.7507,Cluster 1,-86.1422
34.7269,Cluster 1,-86.5673
34.6205,Cluster 1,-86.551
34.5484,Cluster 1,-87.0004
33.8312,Cluster 1,-87.2775
33.6339,Cluster 1,-86.5981
33.5979,Cluster 1,-86.3432
33.5452,Cluster 1,-86.6655
33.4735,Cluster 1,-86.9183
33.3813,Cluster 1,-86.7046
33.3538,Cluster 1,-86.8254
33.2932,Cluster 1,-86.768
33.1826,Cluster 1,-87.4827
33.1717,Cluster 1,-86.2713
